HourRange,TotalPassengerCount,AverageWait
1700 - 1800,2108,15
1800 - 1900,1749,14
1900 - 2000,842,17
2000 - 2100,2199,17
2100 - 2200,1441,16
2200 - 2300,1259,17
2300 - 0000,292,15
0500 - 0600,231,20
0600 - 0700,1736,18
0700 - 0800,693,18
0800 - 0900,724,11
0900 - 1000,1230,18
1000 - 1100,956,23
1100 - 1200,1333,14
1200 - 1300,1623,10
1300 - 1400,2317,20
1400 - 1500,2180,16
1500 - 1600,1508,9
1600 - 1700,3233,20
1700 - 1800,1953,18
1800 - 1900,1270,13
1900 - 2000,758,12
2000 - 2100,1752,18
2100 - 2200,1406,27
2200 - 2300,1339,23
2300 - 0000,566,14
0500 - 0600,520,32
0600 - 0700,1280,16
0700 - 0800,1414,19
0800 - 0900,389,18
0900 - 1000,1484,17
1000 - 1100,1062,17
1100 - 1200,1787,18
1200 - 1300,1835,13
1300 - 1400,2370,15
1400 - 1500,2339,18
1500 - 1600,2510,21
1600 - 1700,2840,19
1700 - 1800,1984,16
1800 - 1900,1501,9
1900 - 2000,1620,20
2000 - 2100,1030,14
2100 - 2200,1573,16
2200 - 2300,1415,17
2300 - 0000,401,18
0000 - 0100,492,15
0500 - 0600,538,19
0600 - 0700,872,22
0700 - 0800,1286,15
0800 - 0900,496,15
0900 - 1000,578,14
1000 - 1100,2122,22
1100 - 1200,1471,13
1200 - 1300,1711,11
1300 - 1400,2457,18
1400 - 1500,2183,24
1500 - 1600,2385,17
1600 - 1700,2583,14
1700 - 1800,2694,15
1800 - 1900,992,9
1900 - 2000,1138,13
2000 - 2100,2064,23
2100 - 2200,1881,25
2200 - 2300,1495,25
2300 - 0000,420,25
0500 - 0600,652,24
0600 - 0700,1630,23
0700 - 0800,1009,36
0800 - 0900,644,19
0900 - 1000,1432,24
1000 - 1100,949,23
1100 - 1200,1677,16
1200 - 1300,793,12
1300 - 1400,3409,16
1400 - 1500,3511,31
1500 - 1600,1573,12
1600 - 1700,2992,14
1700 - 1800,3071,15
1800 - 1900,1595,14
1900 - 2000,1203,20
2000 - 2100,2206,18
2100 - 2200,2255,26
2200 - 2300,810,29
2300 - 0000,786,30
0500 - 0600,386,28
0600 - 0700,1574,36
0700 - 0800,1585,73
0800 - 0900,439,39
0900 - 1000,1404,36
1000 - 1100,1020,34
1100 - 1200,1528,21
1200 - 1300,1811,13
1300 - 1400,3251,20
1400 - 1500,1931,17
1500 - 1600,2618,20
1600 - 1700,2518,23
1700 - 1800,3009,16
1800 - 1900,1416,18
1900 - 2000,1066,13
2000 - 2100,1819,18
2100 - 2200,2710,24
2200 - 2300,1495,17
2300 - 0000,931,20
0500 - 0600,1297,30
0600 - 0700,1134,22
0700 - 0800,389,14
0800 - 0900,881,14
0900 - 1000,952,14
1000 - 1100,1554,16
1100 - 1200,2473,14
1200 - 1300,1985,14
1300 - 1400,3181,19
1400 - 1500,2551,23
1500 - 1600,2254,12
1600 - 1700,2555,13
1700 - 1800,2809,12
1800 - 1900,1799,14
1900 - 2000,964,11
2000 - 2100,2746,14
2100 - 2200,2182,16
2200 - 2300,1285,13
2300 - 0000,1186,16
0500 - 0600,725,27
0600 - 0700,1544,26
0700 - 0800,1232,26
0800 - 0900,931,10
0900 - 1000,926,17
1000 - 1100,880,19
1100 - 1200,1537,13
1200 - 1300,2872,16
1300 - 1400,3253,25
1400 - 1500,1705,13
1500 - 1600,2759,17
1600 - 1700,3214,22
1700 - 1800,2357,13
1800 - 1900,2002,14
1900 - 2000,660,23
2000 - 2100,2676,19
2100 - 2200,1215,26
2200 - 2300,2126,27
2300 - 0000,323,28
0600 - 0700,2139,22
0700 - 0800,943,15
0800 - 0900,546,10
0900 - 1000,974,20
1000 - 1100,554,20
1100 - 1200,2012,14
1200 - 1300,1707,18
1300 - 1400,2730,23
1400 - 1500,2157,19
1500 - 1600,2367,14
1600 - 1700,2200,14
1700 - 1800,2268,15
1800 - 1900,2290,15
1900 - 2000,783,15
2000 - 2100,2475,19
2100 - 2200,1357,21
2200 - 2300,1922,22
2300 - 0000,581,16
0500 - 0600,951,27
0600 - 0700,932,18
0700 - 0800,652,22
0800 - 0900,1070,21
0900 - 1000,467,18
1000 - 1100,1564,21
1100 - 1200,1362,14
1200 - 1300,2391,15
1300 - 1400,2909,27
1400 - 1500,3082,29
1500 - 1600,1457,21
1600 - 1700,2932,16
1700 - 1800,2079,15
1800 - 1900,1681,15
1900 - 2000,973,15
2000 - 2100,1784,16
2100 - 2200,1787,17
2200 - 2300,1970,22
2300 - 0000,356,20
0500 - 0600,746,37
0600 - 0700,939,34
0700 - 0800,1049,31
0800 - 0900,593,16
0900 - 1000,769,20
1000 - 1100,929,17
1100 - 1200,2495,23
1200 - 1300,1139,13
1300 - 1400,4082,21
1400 - 1500,997,29
1500 - 1600,2256,17
1600 - 1700,3702,24
1700 - 1800,1646,18
1800 - 1900,1888,17
1900 - 2000,438,9
2000 - 2100,2111,20
2100 - 2200,1156,21
2200 - 2300,2394,25
2300 - 0000,598,27
0500 - 0600,949,33
0600 - 0700,1402,46
0700 - 0800,936,40
0800 - 0900,411,18
0900 - 1000,903,19
1000 - 1100,1556,14
1100 - 1200,1835,14
1200 - 1300,1340,13
1300 - 1400,3444,21
1400 - 1500,2872,22
1500 - 1600,1208,13
1600 - 1700,3400,18
1700 - 1800,1720,17
1800 - 1900,2540,13
1900 - 2000,516,16
2000 - 2100,2419,20
2100 - 2200,1616,20
2200 - 2300,2080,21
2300 - 0000,576,20
0500 - 0600,835,31
0600 - 0700,1373,31
0700 - 0800,1188,35
0800 - 0900,809,19
0900 - 1000,887,15
1000 - 1100,876,15
1100 - 1200,2647,18
1200 - 1300,1314,11
1300 - 1400,3520,15
1400 - 1500,1876,23
1500 - 1600,1880,12
1600 - 1700,3360,18
1700 - 1800,1335,10
1800 - 1900,1742,10
1900 - 2000,1637,23
2000 - 2100,1995,18
2100 - 2200,2255,22
2200 - 2300,1520,25
2300 - 0000,623,17
0500 - 0600,1561,37
0600 - 0700,836,46
0700 - 0800,670,17
0800 - 0900,809,17
0900 - 1000,1349,18
1000 - 1100,751,14
1100 - 1200,2845,15
1200 - 1300,2032,13
1300 - 1400,3587,13
1400 - 1500,2167,20
1500 - 1600,2066,8
1600 - 1700,2809,12
1700 - 1800,1363,9
1800 - 1900,3357,13
1900 - 2000,855,11
2000 - 2100,2231,20
2100 - 2200,2528,21
2200 - 2300,2347,33
2300 - 0000,706,21
0500 - 0600,772,32
0600 - 0700,1533,24
0700 - 0800,884,32
0800 - 0900,723,28
0900 - 1000,1342,17
1000 - 1100,1076,11
1100 - 1200,1863,15
1200 - 1300,2298,16
1300 - 1400,3707,23
1400 - 1500,1851,38
1500 - 1600,2579,17
1600 - 1700,1360,11
1700 - 1800,4012,16
1800 - 1900,1348,13
1900 - 2000,1344,18
2000 - 2100,1912,16
2100 - 2200,1678,15
2200 - 2300,2115,21
2300 - 0000,595,13
0000 - 0100,161,13
0500 - 0600,565,39
0600 - 0700,1785,29
0700 - 0800,506,23
0800 - 0900,715,12
0900 - 1000,985,18
1000 - 1100,829,14
1100 - 1200,2088,15
1200 - 1300,1597,14
1300 - 1400,2930,31
1400 - 1500,1963,18
1500 - 1600,1340,12
1600 - 1700,3313,13
1700 - 1800,3197,20
1800 - 1900,1307,16
1900 - 2000,430,9
2000 - 2100,1791,11
2100 - 2200,1822,13
2200 - 2300,1666,16
2300 - 0000,563,11
0500 - 0600,1228,43
0600 - 0700,946,22
0700 - 0800,977,16
0800 - 0900,493,9
0900 - 1000,1236,24
1000 - 1100,968,17
1100 - 1200,2219,22
1200 - 1300,1333,16
1300 - 1400,2969,29
1400 - 1500,3108,44
1500 - 1600,1982,38
1600 - 1700,2005,33
1700 - 1800,2612,21
1800 - 1900,1376,20
1900 - 2000,1257,15
2000 - 2100,2116,25
2100 - 2200,2128,20
2200 - 2300,1177,17
2300 - 0000,858,11
0500 - 0600,801,20
0600 - 0700,1466,32
0700 - 0800,862,29
0800 - 0900,1068,20
0900 - 1000,332,16
1000 - 1100,1512,18
1100 - 1200,1813,27
1200 - 1300,2551,39
1300 - 1400,2653,47
1400 - 1500,1900,32
1500 - 1600,1734,27
1600 - 1700,3515,33
1700 - 1800,2289,27
1800 - 1900,1373,18
1900 - 2000,484,13
2000 - 2100,2476,31
2100 - 2200,1038,28
2200 - 2300,1384,20
2300 - 0000,844,27
0500 - 0600,540,34
0600 - 0700,2028,39
0700 - 0800,466,39
0800 - 0900,935,19
0900 - 1000,721,22
1000 - 1100,1243,13
1100 - 1200,2085,18
1200 - 1300,1390,13
1300 - 1400,3342,29
1400 - 1500,2998,34
1500 - 1600,2103,42
1600 - 1700,3653,32
1700 - 1800,1625,27
1800 - 1900,1908,23
1900 - 2000,734,20
2000 - 2100,2831,44
2100 - 2200,1812,32
2200 - 2300,1392,35
2300 - 0000,721,31
0500 - 0600,833,19
0600 - 0700,1352,20
0700 - 0800,641,17
0800 - 0900,1067,7
0900 - 1000,1480,18
1000 - 1100,725,17
1100 - 1200,1764,14
1200 - 1300,2323,12
1300 - 1400,2493,21
1400 - 1500,2405,19
1500 - 1600,2245,16
1600 - 1700,3045,17
1700 - 1800,2192,10
1800 - 1900,2041,13
1900 - 2000,821,16
2000 - 2100,2110,21
2100 - 2200,2149,22
2200 - 2300,1193,21
2300 - 0000,821,22
0500 - 0600,879,34
0600 - 0700,1543,27
0700 - 0800,926,34
0800 - 0900,762,19
0900 - 1000,698,18
1000 - 1100,1797,17
1100 - 1200,2365,19
1200 - 1300,1437,15
1300 - 1400,3329,19
1400 - 1500,2565,25
1500 - 1600,2044,20
1600 - 1700,3499,14
1700 - 1800,2704,17
1800 - 1900,1728,17
1900 - 2000,350,10
2000 - 2100,1935,12
2100 - 2200,2354,13
2200 - 2300,2288,22
2300 - 0000,807,18
0500 - 0600,896,33
0600 - 0700,1506,22
0700 - 0800,367,8
0800 - 0900,486,10
0900 - 1000,1135,19
1000 - 1100,1573,23
1100 - 1200,1094,19
1200 - 1300,3178,18
1300 - 1400,3191,24
1400 - 1500,2729,30
1500 - 1600,2108,24
1600 - 1700,2314,19
1700 - 1800,3635,18
1800 - 1900,1568,15
1900 - 2000,979,13
2000 - 2100,1587,12
2100 - 2200,2050,21
2200 - 2300,1674,22
2300 - 0000,560,18
0500 - 0600,193,11
0600 - 0700,1361,18
0700 - 0800,1614,12
0800 - 0900,525,10
0900 - 1000,975,17
1000 - 1100,1604,21
1100 - 1200,1534,43
1200 - 1300,1643,23
1300 - 1400,2477,35
1400 - 1500,2357,30
1500 - 1600,1560,14
1600 - 1700,2564,16
1700 - 1800,3203,15
1800 - 1900,1585,20
1900 - 2000,956,14
2000 - 2100,1966,17
2100 - 2200,2037,29
2200 - 2300,1372,30
2300 - 0000,304,17
0500 - 0600,135,23
0600 - 0700,2078,23
0700 - 0800,676,17
0800 - 0900,584,15
0900 - 1000,729,22
1000 - 1100,1220,24
1100 - 1200,2714,30
1200 - 1300,2476,26
1300 - 1400,2038,33
1400 - 1500,2625,30
1500 - 1600,2517,30
1600 - 1700,2064,27
1700 - 1800,2249,29
1800 - 1900,1672,20
1900 - 2000,1997,23
2000 - 2100,891,15
2100 - 2200,2089,21
2200 - 2300,2157,24
2300 - 0000,263,17
0500 - 0600,818,19
0600 - 0700,1623,21
0700 - 0800,698,10
0800 - 0900,769,28
0900 - 1000,910,19
1000 - 1100,1925,18
1100 - 1200,1328,19
1200 - 1300,2003,17
1300 - 1400,3149,28
1400 - 1500,888,22
1500 - 1600,2254,17
1600 - 1700,2517,20
1700 - 1800,2242,24
1800 - 1900,1681,20
1900 - 2000,1392,18
2000 - 2100,1714,21
2100 - 2200,1971,19
2200 - 2300,1350,28
2300 - 0000,743,22
0500 - 0600,680,37
0600 - 0700,2102,30
0700 - 0800,680,28
0800 - 0900,560,15
0900 - 1000,850,18
1000 - 1100,932,16
1100 - 1200,2234,20
1200 - 1300,2273,18
1300 - 1400,3624,27
1400 - 1500,2697,32
1500 - 1600,1773,29
1600 - 1700,2143,17
1700 - 1800,3128,17
1800 - 1900,2058,17
1900 - 2000,910,17
2000 - 2100,1569,18
2100 - 2200,2426,25
2200 - 2300,2366,34
2300 - 0000,344,27
0500 - 0600,888,22
0600 - 0700,1426,29
0700 - 0800,825,35
0800 - 0900,1178,36
0900 - 1000,996,40
1000 - 1100,1471,38
1100 - 1200,2185,37
1200 - 1300,2323,32
1300 - 1400,2252,38
1400 - 1500,2171,40
1500 - 1600,2288,38
1600 - 1700,2527,37
1700 - 1800,2558,34
1800 - 1900,1202,30
1900 - 2000,1461,29
2000 - 2100,2493,30
2100 - 2200,1458,34
2200 - 2300,2096,32
2300 - 0000,651,33
0500 - 0600,669,29
0600 - 0700,1559,21
0700 - 0800,278,24
0800 - 0900,480,11
0900 - 1000,369,28
1000 - 1100,2093,26
1100 - 1200,2227,27
1200 - 1300,1572,17
1300 - 1400,2313,20
1400 - 1500,3331,19
1500 - 1600,1989,13
1600 - 1700,3327,13
1700 - 1800,2760,15
1800 - 1900,1991,17
1900 - 2000,1067,15
2000 - 2100,2397,17
2100 - 2200,1743,16
2200 - 2300,2591,16
2300 - 0000,306,8
0500 - 0600,855,24
0600 - 0700,1264,23
0700 - 0800,1018,25
0800 - 0900,451,16
0900 - 1000,820,13
1000 - 1100,1491,23
1100 - 1200,2190,15
1200 - 1300,1138,13
1300 - 1400,4261,27
1400 - 1500,3078,33
1500 - 1600,1704,25
1600 - 1700,2331,23
1700 - 1800,2756,18
1800 - 1900,1585,16
1900 - 2000,1809,26
2000 - 2100,1719,24
2100 - 2200,1249,22
2200 - 2300,3308,30
2300 - 0000,574,15
